,multivariate_choice,univariate_choice
0,4.257142857142857,3.3142857142857145
1,4.171428571428572,3.8
2,5.371428571428571,4.0
3,3.742857142857143,3.6
4,3.3714285714285714,4.3428571428571425
5,2.942857142857143,4.171428571428572
6,4.4,3.142857142857143
7,3.8,2.914285714285714
8,3.4857142857142858,2.8
9,3.914285714285714,4.171428571428572
10,4.0285714285714285,3.5428571428571427
11,3.742857142857143,4.3428571428571425
12,3.6,4.257142857142857
13,3.6285714285714286,4.085714285714285
14,4.771428571428571,4.285714285714286
15,3.742857142857143,3.5428571428571427
16,4.371428571428571,4.171428571428572
17,1.9428571428571428,1.9428571428571428
18,2.857142857142857,3.5142857142857142
19,3.5714285714285716,3.8285714285714287
20,4.742857142857143,3.7714285714285714
